"Country","timePeriod","stability","stabilityOverall","stabilityReduced","yield","yieldOverall","yieldReduced","areaHarvested","areaHarvestedOverall","areaHarvestedReduced","diversity","fertilizer","irrigation","instabilityTemp","instabilityPrec"
"HND",2008,40.9218855581267,79.6649509209607,79.5639661760937,7381681.43629011,11303286.6755713,11307853.8844321,1164173.2,1012199888.4,1011035715.2,7.61570182271338,0.048232159835539,2.78222222222222,-44.6189163167029,-7.06050535569971
"HUN",1968,16.424203767227,45.1729643669437,44.3734762611837,10387683.3424704,5908152.52044568,5885156.18293024,4064255.4,791344975.2,787280719.8,7.58039734813655,0.0820099458483755,3.754,-31.80091880016,-4.35192870748638
"HUN",1978,17.6951509508423,41.601068213954,41.4946391323844,14390913.8720361,7195014.70584972,7162725.42577836,3909366.6,874497647.3,870588280.7,7.96139139120383,0.111084771277497,2.669,-22.5309867840407,-8.61465323990781
"HUN",1988,6.8557216326072,41.6768641599809,41.1214490185481,12859563.6769558,8280577.66163026,8259130.51490045,4027324.2,864274050.5,860246726.3,9.72737307407664,0.0646651947950451,3.34,-25.6214714037893,-7.16471557483542
"HUN",1998,5.44553281445807,51.1129634345801,52.6581033682114,13353207.1501882,9238347.30423755,9220946.59618406,3881991.9,927439516,923557524.1,8.67580044436012,0.0621487807897017,3.434,-33.0150832396846,-4.88863282567299
"HUN",2008,7.95822352319395,65.4103183410232,67.4231207414466,15285242.4821298,10670602.5230415,10653351.4745224,3871798.7,1038259764.1,1034387965.4,7.92136809368401,0.0712867155770994,3.40666666666667,-32.071243437158,-3.55565581363468
"IND",1968,24.4154351575499,53.4575496762106,49.7628031501914,3247712.13057246,5679652.51300832,6200894.30581635,158245904.1,896311386.6,738065482.5,14.5769742849503,0.0117031329768168,18.842,-98.1641817521826,-6.58808419728329
"IND",1978,25.2692458755786,46.0349770391215,42.9528610250784,3943914.33370822,6911030.98297071,7520405.03854597,166089893.7,974024508.5,807934614.8,15.1924941786879,0.027635351596394,23.628,-94.8377089162578,-8.99742120906586
"IND",1988,67.5603535052705,46.6491263872063,43.0468449433958,5238426.91048906,7960763.5441497,8542948.03645085,172595236.4,980301406.7,807706170.3,16.3825984129387,0.0515791077598455,28.173,-123.619913228066,-9.7028461260002
"IND",1998,28.9007902141948,59.6467985470252,51.0485608021357,5996021.27453289,8904588.42247758,9479918.73808036,175568937.1,1062659643.8,887090706.7,17.0900034536998,0.0702714176268675,34.604,-154.368125763593,-12.1128132473511
"IND",2008,39.0250295699793,70.47870304779,59.0343531376108,6916668.296485,10296819.8843851,10945302.5988371,191438454.8,1188616454.7,997177999.9,18.3330765450238,0.0978707501702706,38.3688888888889,-76.0050850788537,-8.61647488281249
"IDN",1968,57.4188279187603,61.2473787713358,58.0297035527152,6317706.69017144,6681871.97184578,6696605.62444595,17612976.4,460383366.2,442770389.8,7.52352089288185,0.0111633153846154,10.218,-193.08621306448,-6.15381944165695
"IDN",1978,64.7939377922768,36.4010613170795,34.8633856805643,8362864.08738401,8118010.30408553,8107171.71035314,20497541.1,505804558.7,485307017.6,8.37433816728178,0.0392139663125239,10.528,-126.756254418887,-8.31682757034286
"IDN",1988,112.998825372265,44.0541609144563,41.9477276151338,10019111.0285855,9237343.16302371,9198920.56759402,25630131.7,544516651.6,518886519.9,9.70109733264167,0.0541191975115234,10.325,-197.69549465258,-4.44928737866715
"IDN",1998,60.701235698755,60.4595424164488,57.5639323289666,11822859.1274551,10416056.1352644,10345661.2033658,29696742.2,624313254.3,594616512.1,10.1391668089851,0.056736292414557,12.218,-156.113509399914,-6.23006708324213
"IDN",2008,97.5410990586544,72.4956959325533,67.661275791122,14582664.4162801,11932802.0697294,11789906.3493189,37849516.3,740428982.2,702579465.9,9.57577623757268,0.0621998794588745,11.9544444444444,-129.247362776988,-5.7020966805865
