"Area","timePeriod","cluster","cv0","yield0","cv1","yield1","cv2","yield2","cv3","yield3","cv4","yield4","cv5","yield5","cv6","yield6","cv7","yield7","cv8","yield8","cv9","yield9"
"Fiji",1993,2,0.108464445179824,9989710.32455184,0.0364464948692143,7284301.62251484,0.0142775187896208,7289190.87064733,0.0766907009472274,19591898.5776829,0.0856554775681989,7836528.2581739,0.014468714273168,6947145.6156339,0.0143485678127042,9280204.42698551,0.0281247107945979,13572900.1805066,0.0274807343342176,11724680.6535645,0.108464445179824,9989710.32455184
"Zambia",1969,2,0.144168087775437,3544940.28336785,0.0236577098376877,5202070.55286368,0.0367834677510791,4460976.93871832,0.0406888851761799,6563756.44258027,0.0497969353819604,4953197.88859611,0.0285702299806409,4242934.95601975,0.0360349590032449,4001285.08775784,0.0385222052079066,8351597.75874633,0.0167840513121589,7404304.5023573,0.144168087775437,3544940.28336785
"French Guiana",1961,2,0.0946359091768779,8945916.82103373,0.0270570600370426,4864876.53745777,0.127963711344313,5193529.62143533,0.0292558487071196,6578719.74949343,0.0572980131847659,6380868.6020936,0.0263624191831994,5068073.93909344,0.0202220967559835,5357679.92734691,0.0308180672937551,9896898.58749415,0.0378973396011906,9539638.84605371,0.0946359091768779,8945916.82103373
"Cambodia",1985,2,0.0400392078447386,3765987.17255869,0.0233212322666935,8148457.15354096,0.0172340568972581,6621372.2735513,0.113998420951746,16032332.4956888,0.156892696772636,5919825.44857038,0.0195099732396866,6623364.12326347,0.0310176453597041,6741782.52764451,0.0204365085297212,12248400.9181892,0.0578811816581237,9332489.9724423,0.0400392078447386,3765987.17255869
"Burma",1969,2,0.0510157957697744,3916636.39386386,0.0171009483251045,5444267.30246401,0.0361566037272212,4388237.76670852,0.0410223758806661,6546857.63910097,0.050548697554771,5025976.62807341,0.025338172930127,4213014.95541033,0.0443441019993433,4137197.49485108,0.0369366933961113,8296076.04579651,0.0171256065100125,7333248.78498467,0.0510157957697744,3916636.39386386
"Mauritania",1961,2,0.0562805405321282,1335974.2919909,0.0252503615713412,4113377.16613201,0.113754023310285,3292096.79413639,0.0512398650390498,6904589.18414338,0.0606972143690382,3792718.32192378,0.0461927755684051,2993252.22858243,0.0814569397853608,2958527.49508128,0.0275190394770053,7141453.24009202,0.0277783205744714,8271769.79872385,0.0562805405321282,1335974.2919909
"South Africa",1961,2,0.210410003467057,4193170.05580961,0.023086969886901,4312377.20339792,0.106276215034141,3876151.267143,0.0388560526815854,6804815.4261095,0.0602015891617839,3747778.19145282,0.0390823606596547,3154255.3151408,0.0441976260886151,3488789.92355143,0.0270279852118173,6447353.45050535,0.0315077235737873,7349106.47582973,0.210410003467057,4193170.05580961
"Niger",1993,2,0.154898974299189,890089.954414921,0.0359440613264831,6487874.60831044,0.0464189310379861,5920254.72509363,0.0667706169639223,14537156.0422123,0.0558622805792913,6666297.02211002,0.0105825674561226,6436382.32410334,0.0182236943922793,9551737.56934349,0.0238451867954286,11597516.4406762,0.0231327531096608,9594200.32646284,0.154898974299189,890089.954414921
"Samoa",1977,2,0.124135349890941,6020174.96464232,0.0411984826681426,9378281.68569972,0.0582399861452909,6409845.47573188,0.0386497085956122,17972207.9544793,0.0229702217937287,12752693.9753005,0.0177212887891713,6974685.01677267,0.0270465927312661,6029833.24244358,0.0495966281072818,8383220.62218235,0.0262591807860326,7470060.63744074,0.124135349890941,6020174.96464232
"Cuba",1969,2,0.148810493270838,9865057.04595131,0.0230323505104298,5349490.27844387,0.0426077121340906,4981139.85799162,0.0864222029464588,7106796.2836191,0.0565735474186129,6968845.32945838,0.0220377070747019,4633362.7348274,0.037573097769401,4578976.43021407,0.0400927378560571,10970487.6253399,0.0237761245164599,9550264.02975595,0.148810493270838,9865057.04595131
